Top risques — matrice probabilité × impact,,,,,,,
,,,,,,,
ID,Risque,Catégorie,Probabilité,Impact,Score,Mitigation,Propriétaire
R1,Prompt injection via mail,Sécurité,2,3,6,CTO,
R2,Dérive coûts LLM,Finance,2,2,4,AI eng,
R3,Feycoil décroche (pas d'adoption),Produit,1,3,3,PO,
R4,Refus équipe à la V2,Produit,2,3,6,PO,
R5,Expiration tokens M365,Tech,2,2,4,Fullstack,
R6,Régression UI migration SolidJS,Tech,3,2,6,Fullstack,
R7,Dépendance LLM providers,Finance,1,3,3,CTO,
R8,Retard V1 >4 sem,PMO,2,3,6,PO,
R9,Fuite PII vers LLM,Sécurité,1,3,3,DevSecOps,
R10,Audit SOC 2 échoue,Compliance,1,3,3,CTO,
R11,Hallucinations persistantes mémoire,Qualité,2,2,4,AI eng,
R12,Éreintement équipe dev,RH,2,2,4,PMO,
